I,r,V
1,0.055,205
1,0.0525,185
1,0.05,174
1,0.0475,157
1,0.045,146
1,0.0425,135
1,0.04,124
1,0.0375,114
1,0.035,109
1,0.0325,103
1.25,0.055,294
1.25,0.0525,279
1.25,0.05,246
1.25,0.0475,233
1.25,0.045,219
1.25,0.0425,200
1.25,0.04,171
1.25,0.0375,160
1.25,0.035,147
1.25,0.0325,138
1.5,0.0275,132
1.5,0.03,153
1.5,0.0325,176
1.5,0.035,196
1.5,0.0375,216
1.5,0.04,238
1.5,0.0425,262
1.5,0.045,290
1.5,0.0475,318
1.5,0.05,351
1.5,0.0525,389
1.5,0.055,409
1.75,0.05,482
1.75,0.0475,440
1.75,0.045,408
1.75,0.0425,366
1.75,0.04,326
1.75,0.0375,293
1.75,0.035,261
1.75,0.0325,232
1.75,0.03,203
1.75,0.0275,177
1.75,0.025,154
2,0.025,185
2,0.0275,214
2,0.03,250
2,0.0325,290
2,0.035,334
2,0.0375,376
2,0.04,416
2,0.0425,471
2.25,0.025,225
2.25,0.0275,260
2.25,0.03,305
2.25,0.0325,352
2.25,0.035,407
2.25,0.0375,461
2.25,0.025,225
2.25,0.0275,260
2.25,0.03,305
2.25,0.0325,352
2.25,0.035,407
2.25,0.0375,461
1.48,0.0275,130
1.33,0.03,130
1.24,0.0325,130
1.14,0.035,130
1.1,0.0375,130
1.03,0.04,130
0.99,0.0425,130
0.93,0.045,130
0.87,0.0475,130
0.83,0.05,130
0.76,0.0525,130
0.74,0.055,130
0.85,0.055,150
0.87,0.0525,150
0.91,0.05,150
0.96,0.0475,150
1.01,0.045,150
1.08,0.0425,150
1.15,0.04,150
1.2,0.0375,150
1.25,0.035,150
1.35,0.0325,150
1.52,0.03,150
1.55,0.0275,150
1.73,0.025,150
1,0.055,200
1.05,0.0525,200
1.11,0.05,200
1.18,0.0475,200
1.22,0.045,200
1.29,0.0425,200
1.36,0.04,200
1.43,0.0375,200
1.51,0.035,200
1.62,0.0325,200
1.74,0.03,200
1.9,0.0275,200
2.08,0.025,200
1.14,0.055,250
1.18,0.0525,250
1.23,0.05,250
1.3,0.0475,250
1.38,0.045,250
1.45,0.0425,250
1.52,0.04,250
1.6,0.0375,250
1.7,0.035,250
1.83,0.0325,250
2,0.03,250
2.16,0.0275,250
2.4,0.025,250
1.26,0.055,300
1.35,0.0525,300
1.4,0.05,300
1.47,0.0475,300
1.52,0.045,300
1.6,0.0425,300
1.68,0.04,300
1.79,0.0375,300
1.91,0.035,300
2.05,0.0325,300
2.23,0.03,300
2.44,0.0275,300
2.67,0.025,300
1.38,0.055,350
1.43,0.0525,350
1.48,0.05,350
1.55,0.0475,350
1.63,0.045,350
1.71,0.0425,350
1.82,0.04,350
1.93,0.0375,350
2.05,0.035,350
2.21,0.0325,350
2.41,0.03,350
2.62,0.0275,350
2.91,0.025,350
1.48,0.055,400
1.53,0.0525,400
1.59,0.05,400
1.67,0.0475,400
1.75,0.045,400
1.85,0.0425,400
1.96,0.04,400
2.08,0.0375,400
2.24,0.035,400
2.4,0.0325,400
2.61,0.03,400
2.82,0.0275,400
